seconds_elapsed,accelerometer_z,accelerometer_y,accelerometer_x,gravity_z,gravity_y,gravity_x,gyroscope_z,gyroscope_y,gyroscope_x,orientation_qz,orientation_qy,orientation_qx,orientation_qw,orientation_roll,orientation_pitch,orientation_yaw,magnetometer_z,magnetometer_y,magnetometer_x,compass_magneticBearing,network_type,network_isConnected,network_isInternetReachable,network_isWifiEnabled,network_isConnectionExpensive,network_ssid,network_bssid,network_strength,network_ipAddress,network_frequency,network_cellularGeneration,network_carrier,totalAcceleration_z,totalAcceleration_y,totalAcceleration_x,magnetometerUncalibrated_z,magnetometerUncalibrated_y,magnetometerUncalibrated_x,gyroscopeUncalibrated_z,gyroscopeUncalibrated_y,gyroscopeUncalibrated_x,accelerometerUncalibrated_z,accelerometerUncalibrated_y,accelerometerUncalibrated_x
25,0.324616661,-0.41543078,-0.050039475,-0.448743248,9.742259715,-0.77069781,0.03723255,-0.046208168,-0.021527599,-0.282160339,-0.172968611,0.627503557,0.704318606,0.626417101,-1.380869895,1.284953161,-25.20450111,-39.59287659,-11.35050041,164.0586329,,,,,,,,,,,,,-0.12395942,9.326259316,-0.82054459,-43.32375153,-33.91500153,45.2205014,0.03804075,-0.048830376,-0.02227225,-0.12395942,9.326259316,-0.82054459
26,0.294582291,0.092735066,-0.07693343,-0.542939089,9.745488475,-0.638214303,0.014126102,0.023121569,0.005564706,-0.278832951,-0.181251029,0.625891849,0.705175092,0.555211078,-1.391440278,1.220774424,-24.85950104,-40.02000153,-14.02987562,160.6954473,none,FALSE,FALSE,FALSE,,,,,,,,,-0.248211774,9.837747536,-0.714975031,-42.97425163,-34.34212654,42.54262665,0.015536152,0.019068016,0.004135784,-0.248211774,9.837747536,-0.714975031
27,0.009315968,-0.028909937,-0.101441772,-0.538242761,9.745510016,-0.504402521,-0.007740842,0.00285755,-0.038306684,-0.269486695,-0.176959386,0.627015399,0.7087702,0.531613901,-1.394464367,1.176688427,-25.23450104,-40.61737663,-15.57900063,159.021375,,,,,,,,,,,,,-0.528660914,9.716119747,-0.605735675,-43.35150154,-34.93912659,40.99537666,-0.006327724,-0.001207549,-0.039722525,-0.528660914,9.716119747,-0.605735675
28,5.31E-04,-0.419995633,-0.106980562,-0.385244881,9.761099572,-0.342166802,-0.024798529,-0.03082022,0.009282599,-0.289672814,-0.193916176,0.611491829,0.710134123,0.413995812,-1.374540026,1.115530243,-26.71950111,-40.52437645,-16.05937567,158.4304077,none,FALSE,FALSE,FALSE,,,,,,,,,-0.38454561,9.340584255,-0.449055899,-44.83912659,-34.84650154,40.51425156,-0.023387132,-0.034877816,0.007863113,-0.38454561,9.340584255,-0.449055899
29,0.375093462,-0.280159581,-0.072088939,-0.608574861,9.75377503,-0.284322933,-0.043301608,0.029912376,-0.02145,-0.279962841,-0.202638271,0.620497639,0.703579964,0.383498647,-1.408479104,1.082503718,-23.71650093,-39.14175163,-16.67325071,156.9372564,,,,,,,,,,,,,-0.233407443,9.473070758,-0.356362885,-41.83837662,-33.46462662,39.89887665,-0.041746374,0.028393751,-0.02176075,-0.233407443,9.473070758,-0.356362885
30,0.283191046,0.083118576,0.09164861,-0.513496824,9.762475593,-0.307634714,0.050768505,-0.028411275,0.008564093,-0.283227833,-0.20748848,0.609277788,0.710760319,0.275135869,-1.390292336,0.986938385,-26.93662636,-38.26425148,-19.22550079,153.3475212,none,FALSE,FALSE,FALSE,,,,,,,,,-0.230167664,9.845101913,-0.216013247,-45.05700157,-32.5878767,37.3470018,0.052182599,-0.032475612,0.007147304,-0.230167664,9.845101913,-0.216013247
31,0.186850216,-0.012590298,0.067439164,-0.333829207,9.774752768,-0.317222375,-0.056155816,-0.017278713,3.31E-04,-0.283508373,-0.204056654,0.600368312,0.719149723,0.22723363,-1.366377321,0.935107621,-29.92725132,-39.01687653,-16.8183757,156.6922557,,,,,,,,,,,,,-0.146887142,9.761682633,-0.249796048,-48.04462692,-33.33712631,39.75600128,-0.054742698,-0.021338366,-0.001094555,-0.146887142,9.761682633,-0.249796048
32,-0.063471081,-0.366075023,0.153181851,-0.431779197,9.746496864,-0.451911576,0.062241665,-0.012468015,0.054207353,-0.297691756,-0.209849755,0.597512424,0.713892442,0.256209874,-1.361718209,0.994713779,-28.41937611,-39.37425156,-11.48587545,163.7474967,none,FALSE,FALSE,FALSE,,,,,,,,,-0.495061792,9.379932792,-0.298610306,-46.53862701,-33.69562653,45.08625122,0.06365576,-0.016517525,0.052789215,-0.495061792,9.379932792,-0.298610306
33,0.194396651,-0.473949316,0.087996588,-0.209571395,9.780936666,-0.292525139,0.007239851,0.033844058,-0.046454579,-0.276970181,-0.199668227,0.597318253,0.725418995,0.198225288,-1.358006508,0.889907962,-24.35025116,-35.59050163,-10.65375044,163.3427453,,,,,,,,,,,,,-0.014998517,9.306491998,-0.20448268,-42.4717514,-29.91337627,45.91875145,0.008644803,0.029766707,-0.04787995,-0.014998517,9.306491998,-0.20448268
34,0.316961048,-0.01581805,-0.082934725,-0.395370478,9.761509418,-0.507498804,0.001814461,0.007869854,0.042868995,-0.281506744,-0.183524137,0.603122367,0.723096835,0.344251975,-1.350360786,1.01871768,-25.33462627,-35.8087516,-12.24675049,161.1570204,none,FALSE,FALSE,FALSE,,,,,,,,,-0.078298534,9.745193173,-0.590330907,-43.4531266,-30.13125118,44.3242514,0.003225858,0.003817647,0.041436029,-0.078298534,9.745193173,-0.590330907
